a,c
-1.91837,0
-1.83673,0.00489592
-1.7551,0.00979184
-1.67347,0.0146878
-1.59184,0.0195837
-1.5102,0.0244796
-1.42857,0.0293755
-1.34694,0.0342714
-1.26531,0.0391674
-1.18367,0.0440633
-1.10204,0.0489592
-1.02041,0.0538551
-0.938776,0.058751
-0.857143,0.0636469
-0.77551,0.0685429
-0.693878,0.0734388
-0.612245,0.0783347
-0.530612,0.0832306
-0.44898,0.0881265
-0.367347,0.0930225
-0.285714,0.0912545
-0.204082,0.0828226
-0.122449,0.0677269
-0.0408163,0.0459672
0.0408163,0.0175437
0.122449,-0.0175437
0.204082,-0.0459672
0.285714,-0.0677269
0.367347,-0.0828226
0.44898,-0.0912545
0.530612,-0.0930225
0.612245,-0.0881265
0.693878,-0.0832306
0.77551,-0.0783347
0.857143,-0.0734388
0.938776,-0.0685429
1.02041,-0.0636469
1.10204,-0.058751
1.18367,-0.0538551
1.26531,-0.0489592
1.34694,-0.0440633
1.42857,-0.0391674
1.5102,-0.0342714
1.59184,-0.0293755
1.67347,-0.0244796
1.7551,-0.0195837
1.83673,-0.0146878
1.91837,-0.00979184
2,-0.00489592
2.08163,0
